locationdesc,category,response,age,gender,raceethnicity,data_value(%),low_confidence_limit,high_confidence_limit,numerator,sample_size,locationid,longitude,latitude
Tennessee,Age Related Macular Degeneration,All Age-related macular degeneration (AMD),65-84 years,All genders,All races,1.09,0.79,1.48,40.0,3700.0,47,-85.77449091399,35.68094058
South Carolina,Cancer and Neoplasms of the Eye,All Cancer and neoplasms of the eye diseases,65-84 years,All genders,All races,0.0,0.0,0.39,90.0,940.0,45,-81.04537120699,33.998821303
North Carolina,Other Retinal Disorders,Central retinal vein occlusion,85 years and older,All genders,North American Native,0.06,0.03,0.33,70.0,8700.0,37,-79.15925046299,35.466220975
Texas,Age Related Macular Degeneration,Geographic atrophy,65 years and older,All genders,Other,0.07,0.05,0.34,120.0,26600.0,48,-99.42677020599,31.827240407
Iowa,Cornea Disorders,Keratoconus,85 years and older,Female,Unknown,0.07,0.03,0.28,70.0,11900.0,19,-93.81649055599,42.469400913
Iowa,Other Retinal Disorders,Central retinal vein occlusion,18-39 years,All genders,"Hispanic, any race",0.0,0.0,0.02,70.0,22500.0,19,-93.81649055599,42.469400913
Michigan,Other Retinal Disorders,Central retinal arterial occlusion,All ages,Male,"White, non-Hispanic",0.0,0.0,0.01,20.0,604800.0,26,-84.71439026999,44.661319543
Virginia,Other Retinal Disorders,Retinopathy of prematurity,65-84 years,Female,All races,0.0,0.0,0.07,70.0,5100.0,51,-78.45789046299,37.542680674
Delaware,Other Retinal Disorders,All Other retinal disorders,18-39 years,Male,Unknown,0.02,0.01,0.89,60.0,3400.0,10,-75.57774116799,39.008830667
Massachusetts,Diabetic Eye Diseases,Vision threatening stage,65 years and older,All genders,Unknown,1.71,1.27,2.25,50.0,2900.0,25,-72.08269067499,42.27687047
Pennsylvania,Glaucoma,Open-angle glaucoma,65-84 years,Female,Other,0.06,0.04,0.3,160.0,40200.0,42,-77.86070029399,40.793730152
North Carolina,Glaucoma,Other/unspecified glaucoma,18 years and older,All genders,"White, non-Hispanic",0.05,0.04,0.06,180.0,339800.0,37,-79.15925046299,35.466220975
Mississippi,Cancer and Neoplasms of the Eye,Benign neoplasm,85 years and older,Female,Asian,0.01,0.0,0.64,90.0,3400.0,28,-89.53803082499,32.745510099
Hawaii,"Injury, Burns and Surgical Complications of the Eye",Ocular injury,85 years and older,Male,All races,0.0,0.0,6.72,60.0,50.0,15,-157.8577494029,21.304850435
Arkansas,Diabetic Eye Diseases,Vision threatening stage,0-17 years,Male,"Hispanic, any race",0.02,0.01,0.28,90.0,21300.0,5,-92.27449074299,34.748650124
Wyoming,Age Related Macular Degeneration,Advanced GA or Inactive CNV,65 years and older,All genders,"White, non-Hispanic",0.0,0.0,1.92,20.0,210.0,56,-108.1098303529,43.235541343
Washington,Other Retinal Disorders,Other/unspecified other retinal disorders,40 years and older,All genders,All races,0.67,0.64,0.69,2400.0,360300.0,53,-120.4700107899,47.522278629
Missouri,Glaucoma,Secondary glaucoma,0-17 years,Male,"White, non-Hispanic",0.01,0.0,0.01,60.0,138900.0,29,-92.56630005299,38.635790776
South Dakota,Infectious and Inflammatory Diseases,Lacrimal and orbit inflammation,65 years and older,Male,"White, non-Hispanic",0.0,0.0,0.61,40.0,1750.0,46,-100.3735306369,44.353130053
National,Other Retinal Disorders,Branch retinal artery occlusion,All ages,All genders,"White, non-Hispanic",0.0,0.0,0.0,1100.0,24415600.0,59,-93.23609634939444,40.43953357133333
Nevada,Cornea Disorders,All Cornea disorders,40 years and older,Male,"White, non-Hispanic",0.47,0.41,0.55,170.0,35600.0,32,-117.0718405639,39.49324039
Delaware,Other Retinal Disorders,Other/unspecified other retinal disorders,65 years and older,Male,"White, non-Hispanic",3.95,1.46,8.3899999999,60.0,150.0,10,-75.57774116799,39.008830667
National,Other Retinal Disorders,Macular edema (Cystoid or non-diabetic),18-39 years,Male,All races,0.01,0.01,0.01,750.0,8579000.0,59,-93.23609634939444,40.43953357133333
District Of Columbia,Glaucoma,Other/unspecified glaucoma,40 years and older,All genders,All races,0.52,0.47,0.58,340.0,66400.0,11,-77.03196112699,38.890371385
Washington,Cancer and Neoplasms of the Eye,All Cancer and neoplasms of the eye diseases,85 years and older,All genders,Asian,0.07,0.04,0.25,90.0,23200.0,53,-120.4700107899,47.522278629
Wisconsin,"Injury, Burns and Surgical Complications of the Eye","All Injury, burns and surgical complications of the eye",18-39 years,All genders,North American Native,1.63,1.34,1.96,110.0,6800.0,55,-89.81637074199,44.393191174
Wisconsin,Other Visual Disturbances,All Other visual disturbances,18 years and older,Male,"Hispanic, any race",0.81,0.69,0.94,160.0,19800.0,55,-89.81637074199,44.393191174
New York,Cornea Disorders,Keratoconus,40-64 years,All genders,"Hispanic, any race",0.15,0.13,0.17,180.0,119400.0,36,-75.54397042699,42.827001032
New Hampshire,Other Retinal Disorders,Myopic degeneration,All ages,All genders,All races,0.02,0.01,0.02,30.0,200100.0,33,-71.50036091999,43.655950113
Delaware,Age Related Macular Degeneration,Advanced GA or Inactive CNV,85 years and older,Female,Other,0.02,0.01,0.89,60.0,3400.0,10,-75.57774116799,39.008830667
Puerto Rico,Age Related Macular Degeneration,All Age-related macular degeneration (AMD),All ages,All genders,"Hispanic, any race",0.1,0.1,0.11,840.0,808300.0,72,-66.590149,18.220833
Indiana,Cornea Disorders,All Cornea disorders,0-17 years,Male,All races,0.03,0.03,0.04,110.0,359200.0,18,-86.14996019399,39.766910452
New Mexico,Glaucoma,Secondary glaucoma,65 years and older,Male,"White, non-Hispanic",0.0,0.0,4.3,80.0,80.0,35,-106.2405809849,34.520880952
Mississippi,Other Retinal Disorders,Retinopathy of prematurity,18-39 years,All genders,All races,0.0,0.0,0.01,90.0,129300.0,28,-89.53803082499,32.745510099
National,Cancer and Neoplasms of the Eye,All Cancer and neoplasms of the eye diseases,0-17 years,Female,"Hispanic, any race",0.08,0.07,0.08,3300.0,4374700.0,59,-93.23609634939444,40.43953357133333
Nebraska,Age Related Macular Degeneration,Advanced GA or Inactive CNV,18 years and older,Male,Asian,0.0,0.0,0.37,30.0,980.0,31,-99.36572062299,41.641040988
Connecticut,Disorders of Optic Nerve and Visual Pathways,Optic nerve disorders,65-84 years,All genders,"Black, non-Hispanic",1.61,1.04,2.39,20.0,1500.0,9,-72.64984095199,41.56266102
Oklahoma,Diabetic Eye Diseases,Proliferative diabetic retinopathy,All ages,Male,Asian,0.1,0.04,0.21,60.0,6800.0,40,-97.52107021399,35.472031356
South Carolina,Other Eye Disorders,Other eye disorders,18 years and older,Male,Unknown,0.92,0.82,1.02,340.0,37000.0,45,-81.04537120699,33.998821303
Nebraska,Age Related Macular Degeneration,Early stage age-related macular degeneration,85 years and older,All genders,"White, non-Hispanic",0.0,0.0,4.06,30.0,90.0,31,-99.36572062299,41.641040988
New York,Other Visual Disturbances,Visual field defect,65-84 years,Female,"White, non-Hispanic",0.1,0.03,0.23,240.0,5000.0,36,-75.54397042699,42.827001032
Wyoming,Age Related Macular Degeneration,Vision threatening stage,All ages,All genders,"Hispanic, any race",0.0,0.0,0.42,20.0,870.0,56,-108.1098303529,43.235541343
Delaware,Other Visual Disturbances,Color blindness,0-17 years,Male,"Hispanic, any race",0.06,0.02,0.12,60.0,12200.0,10,-75.57774116799,39.008830667
Hawaii,Diabetic Eye Diseases,All Diabetic eye diseases,65 years and older,Female,Asian,2.28,1.38,3.53,20.0,830.0,15,-157.8577494029,21.304850435
Arizona,Infectious and Inflammatory Diseases,Endophthalmitis,65 years and older,Male,"Hispanic, any race",0.0,0.0,9.74,90.0,40.0,4,-111.7638112769,34.86597028
New Jersey,Glaucoma,Other/unspecified glaucoma,40-64 years,All genders,Asian,0.13,0.08,0.18,30.0,23000.0,34,-74.27369128799,40.130570048
New Hampshire,Age Related Macular Degeneration,Advanced GA or Inactive CNV,85 years and older,Female,"Hispanic, any race",0.01,0.0,0.76,40.0,1200.0,33,-71.50036091999,43.655950113
North Carolina,Orbital and External Disease,Lacrimal diseases,85 years and older,Female,North American Native,0.06,0.03,0.33,70.0,8700.0,37,-79.15925046299,35.466220975
New Mexico,Other Retinal Disorders,Branch retinal vein occlusion,85 years and older,Female,Unknown,0.07,0.04,0.29,80.0,11900.0,35,-106.2405809849,34.520880952
Delaware,Other Retinal Disorders,Branch retinal artery occlusion,All ages,Female,"White, non-Hispanic",0.01,0.0,0.02,60.0,52900.0,10,-75.57774116799,39.008830667
Louisiana,Glaucoma,Open-angle glaucoma,40 years and older,All genders,"Hispanic, any race",0.61,0.48,0.76,80.0,12700.0,22,-92.44568007099,31.312660644
Oregon,Cancer and Neoplasms of the Eye,All Cancer and neoplasms of the eye diseases,18 years and older,All genders,"Black, non-Hispanic",0.03,0.01,0.07,70.0,16600.0,41,-120.1550313259,44.567449424
New York,Other Retinal Disorders,Central retinal vein occlusion,18-39 years,Male,Other,0.0,0.0,0.19,240.0,2000.0,36,-75.54397042699,42.827001032
North Dakota,Diabetic Eye Diseases,Diabetic macular edema,18-39 years,All genders,Unknown,0.0,0.0,3.33,30.0,110.0,38,-100.1184210489,47.475319779
Michigan,Other Retinal Disorders,Central retinal vein occlusion,18-39 years,Male,Other,0.0,0.0,1.14,110.0,320.0,26,-84.71439026999,44.661319543
California,Other Visual Disturbances,Night blindness,65-84 years,All genders,"White, non-Hispanic",0.13,0.09,0.22,250.0,136000.0,6,-120.9999995379,37.638640123
Maine,Orbital and External Disease,Dry eye syndrome,18 years and older,Female,Asian,2.69,1.6,4.21,20.0,670.0,23,-68.98503133599,45.254228894
West Virginia,Other Visual Disturbances,All Other visual disturbances,65 years and older,All genders,Unknown,1.01,0.68,1.44,30.0,3000.0,54,-80.71264013499,38.665510202
Oklahoma,Glaucoma,Other/unspecified glaucoma,18-39 years,All genders,North American Native,0.01,0.0,0.04,60.0,29000.0,40,-97.52107021399,35.472031356
Montana,Other Visual Disturbances,Color blindness,85 years and older,Female,All races,0.02,0.01,0.62,60.0,3700.0,30,-109.4244206449,47.066528972
New Jersey,Glaucoma,Glaucoma suspect,40-64 years,Female,All races,3.22,3.15,3.3,6700.0,207900.0,34,-74.27369128799,40.130570048
Nevada,Other Visual Disturbances,All Other visual disturbances,65-84 years,Male,"Black, non-Hispanic",0.07,0.04,0.26,70.0,11400.0,32,-117.0718405639,39.49324039
National,Other Retinal Disorders,Branch retinal vein occlusion,All ages,All genders,"White, non-Hispanic",0.01,0.01,0.01,3000.0,24415600.0,59,-93.23609634939444,40.43953357133333
South Carolina,Other Visual Disturbances,Visual field defect,40-64 years,All genders,North American Native,0.0,0.0,0.96,90.0,380.0,45,-81.04537120699,33.998821303
Texas,Orbital and External Disease,All Orbital and external disease,40 years and older,All genders,Asian,4.17,3.56,4.85,160.0,3800.0,48,-99.42677020599,31.827240407
National,"Injury, Burns and Surgical Complications of the Eye","All Injury, burns and surgical complications of the eye",65 years and older,Female,All races,0.72,0.69,0.75,2300.0,319700.0,59,-93.23609634939444,40.43953357133333
Maryland,Other Retinal Disorders,Non-Occlusive retinal vascular disease,65 years and older,Female,All races,0.82,0.43,1.43,10.0,1500.0,24,-76.60926011099,39.290580964
Minnesota,Orbital and External Disease,Eyelid disorders,40 years and older,Female,Other,1.77,0.58,4.09,80.0,280.0,27,-94.79420050299,46.355648736
Tennessee,Infectious and Inflammatory Diseases,Lacrimal and orbit inflammation,65-84 years,All genders,All races,0.08,0.05,0.19,150.0,173900.0,47,-85.77449091399,35.68094058
Rhode Island,Disorders of Optic Nerve and Visual Pathways,Optic nerve disorders,18 years and older,Male,Unknown,0.17,0.14,0.21,110.0,62700.0,44,-71.52247031399,41.708280193
Indiana,Disorders of Optic Nerve and Visual Pathways,All Disorders of optic nerve and visual pathways,40-64 years,Male,Asian,0.04,0.02,0.33,70.0,15400.0,18,-86.14996019399,39.766910452
Washington,Orbital and External Disease,Disorders of the globe,65-84 years,Female,"Hispanic, any race",0.0,0.0,1.4,90.0,260.0,53,-120.4700107899,47.522278629
Wisconsin,Other Retinal Disorders,Occlusive retinal vascular disease,18 years and older,Male,All races,0.0,0.0,0.01,70.0,231700.0,55,-89.81637074199,44.393191174
Wisconsin,Age Related Macular Degeneration,Geographic atrophy,18 years and older,All genders,Other,0.0,0.0,0.63,70.0,590.0,55,-89.81637074199,44.393191174
California,Orbital and External Disease,Congenital anomalies,All ages,All genders,Unknown,0.17,0.16,0.18,1500.0,856000.0,6,-120.9999995379,37.638640123
Pennsylvania,Other Retinal Disorders,All Other retinal disorders,All ages,Male,North American Native,0.25,0.1,0.52,160.0,2800.0,42,-77.86070029399,40.793730152
Nevada,Other Retinal Disorders,Central retinal arterial occlusion,0-17 years,All genders,Asian,0.0,0.0,0.04,70.0,9900.0,32,-117.0718405639,39.49324039
Arizona,Infectious and Inflammatory Diseases,Lacrimal and orbit inflammation,85 years and older,All genders,Other,0.1,0.06,0.34,90.0,13400.0,4,-111.7638112769,34.86597028
Minnesota,Infectious and Inflammatory Diseases,Lacrimal and orbit inflammation,All ages,Male,North American Native,0.04,0.01,0.08,80.0,16400.0,27,-94.79420050299,46.355648736
Hawaii,Orbital and External Disease,Lacrimal diseases,18-39 years,All genders,Unknown,0.02,0.01,0.06,60.0,21000.0,15,-157.8577494029,21.304850435
Louisiana,Glaucoma,All Glaucoma,40-64 years,Male,Asian,0.07,0.05,0.31,130.0,55200.0,22,-92.44568007099,31.312660644
Pennsylvania,Other Visual Disturbances,Night blindness,40 years and older,Female,Other,0.0,0.0,0.91,160.0,400.0,42,-77.86070029399,40.793730152
Arizona,Infectious and Inflammatory Diseases,Lacrimal and orbit inflammation,65-84 years,All genders,"Black, non-Hispanic",0.0,0.0,1.06,90.0,350.0,4,-111.7638112769,34.86597028
New Hampshire,Orbital and External Disease,Eyelid disorders,18-39 years,Male,Asian,0.0,0.0,0.96,40.0,380.0,33,-71.50036091999,43.655950113
Delaware,Other Eye Disorders,Other eye disorders,40-64 years,Male,North American Native,0.0,0.0,5.06,60.0,70.0,10,-75.57774116799,39.008830667
Pennsylvania,Cancer and Neoplasms of the Eye,Benign neoplasm,65 years and older,All genders,Other,0.06,0.04,0.3,160.0,40200.0,42,-77.86070029399,40.793730152
Iowa,Other Retinal Disorders,Macular edema (Cystoid or non-diabetic),All ages,Male,"Hispanic, any race",0.07,0.03,0.28,70.0,11900.0,19,-93.81649055599,42.469400913
Texas,Age Related Macular Degeneration,Dry-form age-related macular degeneration,85 years and older,Female,Asian,0.07,0.05,0.34,120.0,26600.0,48,-99.42677020599,31.827240407
West Virginia,"Injury, Burns and Surgical Complications of the Eye",Ocular burns,18-39 years,Male,Other,0.0,0.0,0.55,60.0,660.0,54,-80.71264013499,38.665510202
Montana,Orbital and External Disease,Other/unspecified orbital and external disease,40-64 years,Male,"Hispanic, any race",0.0,0.0,0.54,60.0,680.0,30,-109.4244206449,47.066528972
Washington,Other Retinal Disorders,Branch retinal artery occlusion,65 years and older,All genders,"Hispanic, any race",0.07,0.04,0.25,90.0,23200.0,53,-120.4700107899,47.522278629
Missouri,Disorders of Optic Nerve and Visual Pathways,Optic nerve disorders,40-64 years,Male,All races,0.4,0.34,0.47,150.0,36800.0,29,-92.56630005299,38.635790776
Florida,Cornea Disorders,All Cornea disorders,All ages,Male,All races,0.09,0.08,0.09,1300.0,1490100.0,12,-81.92896053899,28.932040377
Connecticut,Orbital and External Disease,Other/unspecified orbital and external disease,40 years and older,Male,Unknown,0.05,0.03,0.08,20.0,40900.0,9,-72.64984095199,41.56266102
North Dakota,Cornea Disorders,Keratoconus,18-39 years,All genders,Other,0.0,0.0,0.23,30.0,1600.0,38,-100.1184210489,47.475319779
Missouri,Infectious and Inflammatory Diseases,Endophthalmitis,0-17 years,Female,North American Native,0.0,0.0,0.62,60.0,600.0,29,-92.56630005299,38.635790776
Georgia,Age Related Macular Degeneration,Choroidal neovascularization,18 years and older,All genders,All races,0.01,0.01,0.01,50.0,649300.0,13,-83.62758034599,32.839681093
Indiana,Glaucoma,Other/unspecified glaucoma,All ages,All genders,"Hispanic, any race",0.01,0.01,0.03,10.0,88400.0,18,-86.14996019399,39.766910452
New York,Glaucoma,Primary angle-closure glaucoma,18-39 years,Male,North American Native,0.08,0.02,0.24,240.0,3600.0,36,-75.54397042699,42.827001032
New York,Diabetic Eye Diseases,Non-proliferative,0-17 years,Female,"Black, non-Hispanic",0.01,0.0,0.01,240.0,171400.0,36,-75.54397042699,42.827001032
Arkansas,Glaucoma,Other/unspecified glaucoma,40 years and older,Female,"Black, non-Hispanic",0.02,0.01,0.28,90.0,21300.0,5,-92.27449074299,34.748650124
New Jersey,Diabetic Eye Diseases,Vision threatening stage,18-39 years,All genders,"Hispanic, any race",0.05,0.04,0.06,70.0,138700.0,34,-74.27369128799,40.130570048
Texas,Diabetic Eye Diseases,Other diabetes related eye disorders,85 years and older,All genders,"Black, non-Hispanic",0.07,0.05,0.34,120.0,26600.0,48,-99.42677020599,31.827240407
New Mexico,Other Retinal Disorders,Myopic degeneration,18-39 years,Male,"Black, non-Hispanic",0.07,0.04,0.29,80.0,11900.0,35,-106.2405809849,34.520880952
Indiana,Other Retinal Disorders,Branch retinal artery occlusion,85 years and older,Male,Other,0.0,0.0,10.58,70.0,30.0,18,-86.14996019399,39.766910452
Oklahoma,Glaucoma,Open-angle glaucoma,85 years and older,Female,All races,1.79,0.49,4.51,60.0,220.0,40,-97.52107021399,35.472031356
Connecticut,Other Retinal Disorders,Hereditary chorioretinal dystrophy,All ages,All genders,Asian,0.08,0.05,0.12,20.0,27500.0,9,-72.64984095199,41.56266102
Kentucky,Diabetic Eye Diseases,Non-proliferative,18-39 years,Female,Other,0.0,0.0,1.91,90.0,190.0,21,-84.77497104799,37.645970271
South Dakota,"Injury, Burns and Surgical Complications of the Eye",Ocular injury,40 years and older,Male,Asian,0.0,0.0,10.58,40.0,30.0,46,-100.3735306369,44.353130053
Michigan,Glaucoma,All Glaucoma,All ages,All genders,"White, non-Hispanic",0.92,0.9,0.93,11900.0,1304300.0,26,-84.71439026999,44.661319543
